temperature,humidity,weather_type,season,upper_wear,lower_wear,footwear,accessories
3.2,95,snowy,winter,Wool coat + Sweater,Thermal-lined jeans,Waterproof winter boots,Gloves + Beanie
25.8,55,cloudy,spring,Short-sleeve button-down,Jeans,Loafers,None
13.5,72,rainy,spring,Waterproof shell jacket,Tailored joggers,Rubber-soled boots,Umbrella + Cap
18.1,96,rainy,spring,Hooded rain jacket,Tailored trousers,Waterproof sneakers,Water-resistant watch
10.6,28,sunny,spring,Oxford shirt + Light jacket,Slim jeans,Sneakers,Cap
12.1,69,cloudy,spring,Crewneck sweatshirt,Slim jeans,Sneakers,Watch
17.0,28,sunny,fall,Light sweater,Tailored joggers,Loafers,Light scarf
38.1,46,windy,summer,Ultra-light T-shirt,Chino shorts,Slip-on canvas shoes,None
5.1,58,sunny,winter,Wool sweater + Overcoat,Dark jeans,High-top sneakers,Beanie
19.7,72,cloudy,spring,Polo shirt,Tailored trousers,Canvas shoes,Cap
22.5,47,cloudy,fall,Short-sleeve button-down,Jeans,Sneakers,Sunglasses
34.2,78,rainy,summer,Light rain jacket,Quick-dry chinos,Waterproof sneakers,Water-resistant watch
23.4,45,sunny,spring,Polo shirt,Jeans,Sneakers,Sunglasses
38.9,59,sunny,summer,Ultra-light T-shirt,Chino shorts,Sandals,Cap
38.1,87,stormy,summer,Quick-dry shirt + Rain shell,Quick-dry chinos,Waterproof sneakers,Water-resistant watch
30.6,93,stormy,summer,Quick-dry shirt + Rain shell,Quick-dry chinos,Rain boots,Umbrella
17.4,43,windy,spring,Light jacket + Henley,Chinos,Sneakers,Light scarf
39.5,42,windy,summer,Linen tee,Linen shorts,Slip-on canvas shoes,None
-4.0,95,snowy,winter,Wool coat + Sweater,Wool trousers,Waterproof winter boots,Beanie + Thermal socks
5.5,54,cloudy,winter,Puffer jacket,Dark jeans,Waterproof sneakers,Light scarf
18.6,57,cloudy,fall,Linen shirt,Tailored trousers,Sneakers,Cap
29.2,91,rainy,summer,Light rain jacket,Dark chinos,Rain boots,Water-resistant watch
-1.8,89,snowy,winter,Parka + Thermal layer,Thermal-lined jeans,Waterproof winter boots,Beanie + Thermal socks
14.5,48,sunny,spring,Oxford shirt + Light jacket,Chinos,Sneakers,Cap
12.4,32,windy,spring,Light jacket + Henley,Tailored joggers,Sneakers,Watch
16.1,39,sunny,spring,Light sweater,Tailored joggers,Chukka boots,Watch
-1.6,94,rainy,winter,Waterproof shell jacket,Thermal-lined jeans,Rain boots,Umbrella
23.8,46,sunny,fall,Short-sleeve button-down,Tailored trousers,Canvas shoes,None
19.9,81,misty,fall,Hoodie + Light jacket,Chinos,Canvas shoes,Cap
12.4,28,sunny,fall,Oxford shirt + Light jacket,Chinos,Loafers,Cap
25.3,36,windy,summer,Short-sleeve button-down,Tailored trousers,Sneakers,Watch
0.6,62,cloudy,winter,Turtleneck + Jacket,Dark jeans,High-top sneakers,Leather gloves
9.3,46,windy,winter,Turtleneck + Jacket,Corduroy pants,High-top sneakers,Watch
14.4,42,sunny,spring,Crewneck sweatshirt,Slim jeans,Chukka boots,Minimal bracelet
24.7,71,windy,spring,Cotton T-shirt,Jeans,Canvas shoes,Sunglasses
-3.3,41,sunny,winter,Wool sweater + Overcoat,Wool trousers,Waterproof winter boots,Thermal socks
20.2,81,rainy,fall,Waterproof shell jacket,Jeans,Rubber-soled boots,Water-resistant watch
1.0,86,misty,winter,Turtleneck + Jacket,Dark jeans,Leather boots,Light scarf
17.6,73,rainy,spring,Hooded rain jacket,Slim jeans,Waterproof sneakers,Water-resistant watch
-2.7,79,rainy,winter,Hooded rain jacket,Wool trousers,Rubber-soled boots,Umbrella
10.6,33,sunny,winter,Turtleneck + Jacket,Tailored joggers,Chukka boots,Watch
2.6,59,cloudy,winter,Wool sweater + Overcoat,Dark jeans,High-top sneakers,Leather gloves
18.2,91,misty,fall,Hoodie + Light jacket,Jeans,Sneakers,Cap
21.2,88,rainy,fall,Hooded rain jacket,Chinos,Waterproof sneakers,Umbrella + Cap
15.9,80,rainy,fall,Hooded rain jacket,Chinos,Rain boots,Water-resistant watch
32.3,52,cloudy,summer,Linen short-sleeve shirt,Light chinos,Slip-on loafers,Lightweight watch
20.3,42,sunny,spring,Cotton T-shirt,Chinos,Loafers,Watch
12.9,45,sunny,fall,Crewneck sweatshirt,Tailored joggers,Chukka boots,Cap
16.8,86,stormy,fall,Waterproof shell jacket,Slim jeans,Waterproof sneakers,Water-resistant watch
21.9,80,cloudy,spring,Polo shirt,Chinos,Sneakers,None
39.6,86,rainy,summer,Light rain jacket,Dark chinos,Waterproof sneakers,Umbrella + Cap
-3.5,27,sunny,winter,Turtleneck + Jacket,Corduroy pants,Waterproof winter boots,Wool scarf
8.2,56,cloudy,fall,Puffer vest + Sweatshirt,Corduroy pants,High-top sneakers,Light scarf
-4.7,64,snowy,winter,Insulated puffer jacket,Thermal-lined jeans,Waterproof winter boots,Gloves + Beanie
22.2,88,rainy,spring,Hooded rain jacket,Tailored trousers,Rain boots,Water-resistant watch
17.9,88,rainy,fall,Hooded rain jacket,Chinos,Rubber-soled boots,Umbrella
18.8,75,rainy,spring,Hooded rain jacket,Jeans,Waterproof sneakers,Umbrella
35.2,84,rainy,summer,Quick-dry shirt + Rain shell,Quick-dry chinos,Rubber-soled boots,Umbrella
23.2,70,misty,spring,Polo shirt,Jeans,Canvas shoes,Cap
19.0,71,cloudy,fall,Linen shirt,Tailored trousers,Canvas shoes,None
8.6,61,cloudy,fall,Flannel shirt + Coat,Chinos,High-top sneakers,Beanie
3.5,82,snowy,winter,Insulated puffer jacket,Wool trousers,Waterproof winter boots,Wool scarf + Gloves
17.0,96,stormy,spring,Hooded rain jacket,Slim jeans,Rain boots,Water-resistant watch
0.6,59,windy,winter,Puffer jacket,Chinos,High-top sneakers,Cap
39.5,39,sunny,summer,Ultra-light T-shirt,Linen shorts,Slip-on canvas shoes,Sunglasses + Cap
20.0,42,sunny,spring,Short-sleeve button-down,Chinos,Sneakers,Cap
17.0,88,misty,spring,Hoodie + Light jacket,Chinos,Chukka boots,Light scarf
10.2,60,cloudy,spring,Light sweater,Chinos,Loafers,Watch
21.5,43,sunny,spring,Linen shirt,Jeans,Loafers,None
12.3,52,cloudy,spring,Light sweater,Chinos,Loafers,Minimal bracelet
32.1,64,windy,summer,Lightweight polo,Light chinos,Slip-on loafers,Lightweight watch
17.7,57,cloudy,spring,Crewneck sweatshirt,Slim jeans,Loafers,Light scarf
13.7,52,sunny,spring,Long-sleeve Henley,Slim jeans,Chukka boots,Minimal bracelet
18.6,95,rainy,fall,Hooded rain jacket,Jeans,Waterproof sneakers,Umbrella + Cap
3.1,72,cloudy,winter,Puffer jacket,Chinos,Leather boots,Beanie
35.1,48,sunny,summer,Moisture-wicking tee,Linen shorts,Slip-on canvas shoes,Sunglasses + Cap
8.6,33,windy,fall,Light jacket + Henley,Dark jeans,Waterproof sneakers,Cap
7.9,78,cloudy,winter,Puffer jacket,Corduroy pants,Leather boots,Watch
27.9,60,cloudy,summer,Linen short-sleeve shirt,Chino shorts,Low-top sneakers,Sunglasses
11.9,57,sunny,fall,Light sweater,Chinos,Loafers,Cap
8.2,75,cloudy,fall,Flannel shirt + Coat,Chinos,Waterproof sneakers,Light scarf
0.9,67,cloudy,winter,Puffer jacket,Chinos,High-top sneakers,Leather gloves
23.7,80,stormy,spring,Hooded rain jacket,Tailored trousers,Waterproof sneakers,Water-resistant watch
17.1,70,cloudy,fall,Long-sleeve Henley,Tailored joggers,Chukka boots,Minimal bracelet
27.7,94,rainy,summer,Light rain jacket,Quick-dry chinos,Rubber-soled boots,Water-resistant watch
2.8,82,snowy,winter,Parka + Thermal layer,Wool trousers,Insulated boots,Gloves + Beanie
24.0,45,windy,spring,Linen shirt,Chinos,Loafers,None
29.4,73,rainy,summer,Quick-dry shirt + Rain shell,Quick-dry chinos,Rain boots,Umbrella
31.3,70,cloudy,summer,Lightweight polo,Light chinos,Slip-on loafers,None
3.4,47,sunny,winter,Turtleneck + Jacket,Chinos,Leather boots,Beanie
12.8,79,misty,fall,Sweater + Windbreaker,Chinos,Sneakers,Cap
-4.5,77,snowy,winter,Wool coat + Sweater,Thermal-lined jeans,Waterproof winter boots,Beanie + Thermal socks
12.5,87,misty,fall,Sweater + Windbreaker,Slim jeans,Loafers,Light scarf
1.3,93,misty,winter,Wool sweater + Overcoat,Dark jeans,High-top sneakers,Watch
11.4,69,cloudy,fall,Long-sleeve Henley,Chinos,Loafers,Light scarf
13.3,65,windy,spring,Light jacket + Henley,Tailored joggers,Sneakers,Cap
4.9,80,snowy,winter,Insulated puffer jacket,Thermal-lined jeans,Waterproof winter boots,Gloves + Beanie
28.2,29,sunny,summer,Moisture-wicking tee,Light chinos,Low-top sneakers,Sunglasses + Cap
16.2,35,windy,fall,Light jacket + Henley,Tailored joggers,Sneakers,Watch
3.6,76,snowy,winter,Insulated puffer jacket,Thermal-lined jeans,Waterproof winter boots,Beanie + Thermal socks
14.4,89,rainy,spring,Hooded rain jacket,Slim jeans,Rubber-soled boots,Water-resistant watch
19.2,77,cloudy,fall,Polo shirt,Jeans,Loafers,Watch
15.3,82,rainy,fall,Hooded rain jacket,Slim jeans,Rain boots,Umbrella
21.3,48,cloudy,fall,Cotton T-shirt,Tailored trousers,Canvas shoes,Cap
19.4,45,sunny,spring,Linen shirt,Tailored trousers,Sneakers,None
39.1,48,windy,summer,Tank top + Open shirt,Chino shorts,Slip-on canvas shoes,None
32.1,30,sunny,summer,Linen short-sleeve shirt,Chino shorts,Low-top sneakers,Cap
5.5,94,rainy,winter,Waterproof shell jacket,Chinos,Waterproof sneakers,Umbrella + Cap
29.6,38,windy,summer,Linen short-sleeve shirt,Light chinos,Canvas sneakers,Lightweight watch
-5.7,87,snowy,winter,Wool coat + Sweater,Thermal-lined jeans,Waterproof winter boots,Wool scarf + Gloves
33.1,73,rainy,summer,Light rain jacket,Dark chinos,Rain boots,Water-resistant watch
15.1,78,rainy,fall,Hooded rain jacket,Slim jeans,Rubber-soled boots,Water-resistant watch
12.9,77,rainy,fall,Waterproof shell jacket,Chinos,Waterproof sneakers,Umbrella + Cap
24.1,51,sunny,summer,Polo shirt,Chinos,Loafers,Cap
37.8,26,sunny,summer,Linen short-sleeve shirt,Chino shorts,Sandals,Cap
14.7,29,sunny,fall,Long-sleeve Henley,Slim jeans,Sneakers,Minimal bracelet
37.5,34,sunny,summer,Moisture-wicking tee,Linen shorts,Sandals,Sunglasses + Cap
36.5,28,sunny,summer,Linen short-sleeve shirt,Linen shorts,Slip-on canvas shoes,Sunglasses + Cap
12.3,76,rainy,spring,Hooded rain jacket,Tailored joggers,Rain boots,Water-resistant watch
22.1,48,sunny,fall,Linen shirt,Tailored trousers,Loafers,Watch
15.1,56,cloudy,fall,Oxford shirt + Light jacket,Tailored joggers,Sneakers,Cap
3.0,64,snowy,winter,Parka + Thermal layer,Wool trousers,Waterproof winter boots,Beanie + Thermal socks
10.2,69,cloudy,winter,Wool sweater + Overcoat,Tailored joggers,Loafers,Light scarf
22.4,58,cloudy,fall,Cotton T-shirt,Tailored trousers,Canvas shoes,Watch
2.8,77,snowy,winter,Wool coat + Sweater,Wool trousers,Waterproof winter boots,Beanie + Thermal socks
6.9,72,rainy,winter,Hooded rain jacket,Chinos,Rain boots,Water-resistant watch
19.3,50,cloudy,spring,Linen shirt,Jeans,Canvas shoes,None
25.0,36,sunny,spring,Short-sleeve button-down,Tailored trousers,Loafers,Cap
2.5,38,sunny,winter,Puffer jacket,Corduroy pants,Leather boots,Light scarf
24.0,51,cloudy,fall,Linen shirt,Chinos,Canvas shoes,Sunglasses
33.9,55,windy,summer,Ultra-light T-shirt,Athletic shorts,Sandals,Cap
13.8,72,cloudy,fall,Crewneck sweatshirt,Tailored joggers,Loafers,Minimal bracelet
15.0,53,sunny,spring,Crewneck sweatshirt,Chinos,Loafers,Minimal bracelet
20.4,51,windy,fall,Light jacket + Henley,Chinos,Sneakers,Cap
16.9,34,windy,fall,Light jacket + Henley,Slim jeans,Sneakers,Light scarf
11.5,68,windy,spring,Windbreaker + Tee,Slim jeans,Sneakers,Light scarf
39.9,38,sunny,summer,Ultra-light T-shirt,Chino shorts,Sandals,Sunglasses
1.7,67,snowy,winter,Insulated puffer jacket,Thermal-lined jeans,Waterproof winter boots,Gloves + Beanie
21.6,43,sunny,spring,Cotton T-shirt,Jeans,Sneakers,Cap
2.4,89,snowy,winter,Parka + Thermal layer,Thermal-lined jeans,Insulated boots,Beanie + Thermal socks
10.0,58,cloudy,spring,Crewneck sweatshirt,Chinos,Chukka boots,Watch
32.4,43,sunny,summer,Linen short-sleeve shirt,Linen trousers,Slip-on loafers,Cap
24.3,53,sunny,summer,Linen shirt,Chinos,Canvas shoes,Cap
29.6,37,sunny,summer,Linen short-sleeve shirt,Light chinos,Slip-on loafers,Cap
11.0,63,windy,spring,Windbreaker + Tee,Chinos,Loafers,Cap
0.2,76,snowy,winter,Wool coat + Sweater,Wool trousers,Insulated boots,Beanie + Thermal socks
36.8,40,sunny,summer,Ultra-light T-shirt,Linen shorts,Breathable sneakers,Sunglasses + Cap
13.9,53,sunny,fall,Oxford shirt + Light jacket,Chinos,Chukka boots,Minimal bracelet
13.9,52,cloudy,winter,Oxford shirt + Light jacket,Slim jeans,Sneakers,Watch
28.9,88,rainy,summer,Quick-dry shirt + Rain shell,Dark chinos,Waterproof sneakers,Water-resistant watch
31.0,69,cloudy,summer,Breathable T-shirt,Chino shorts,Canvas sneakers,Lightweight watch
36.0,51,cloudy,summer,Tank top + Open shirt,Athletic shorts,Slip-on canvas shoes,Cooling towel
-1.3,84,snowy,winter,Parka + Thermal layer,Thermal-lined jeans,Waterproof winter boots,Wool scarf + Gloves
25.2,50,cloudy,summer,Linen shirt,Jeans,Loafers,Cap
10.4,82,stormy,spring,Hooded rain jacket,Tailored joggers,Rubber-soled boots,Umbrella + Cap
14.6,98,stormy,spring,Waterproof shell jacket,Chinos,Rain boots,Umbrella
21.0,99,stormy,fall,Hooded rain jacket,Tailored trousers,Rain boots,Umbrella
18.1,35,windy,spring,Windbreaker + Tee,Chinos,Sneakers,Light scarf
39.7,50,cloudy,summer,Tank top + Open shirt,Athletic shorts,Breathable sneakers,Cooling towel
20.3,95,rainy,fall,Hooded rain jacket,Chinos,Rain boots,Water-resistant watch
37.3,44,sunny,summer,Moisture-wicking tee,Athletic shorts,Breathable sneakers,Sunglasses
12.6,80,cloudy,spring,Light sweater,Slim jeans,Chukka boots,Cap
0.1,66,snowy,winter,Parka + Thermal layer,Thermal-lined jeans,Insulated boots,Gloves + Beanie
33.0,96,stormy,summer,Light rain jacket,Dark chinos,Rubber-soled boots,Water-resistant watch
6.5,56,cloudy,winter,Puffer jacket,Corduroy pants,Leather boots,Leather gloves
9.0,61,cloudy,fall,Puffer vest + Sweatshirt,Corduroy pants,Leather boots,Watch
21.5,72,cloudy,spring,Linen shirt,Jeans,Sneakers,Cap
3.3,71,snowy,winter,Wool coat + Sweater,Wool trousers,Waterproof winter boots,Gloves + Beanie
24.9,60,windy,spring,Polo shirt,Chinos,Loafers,None
16.0,34,windy,fall,Windbreaker + Tee,Tailored joggers,Loafers,Watch
28.5,46,sunny,summer,Moisture-wicking tee,Linen trousers,Canvas sneakers,Sunglasses
12.2,59,cloudy,fall,Crewneck sweatshirt,Slim jeans,Sneakers,Minimal bracelet
-2.1,44,sunny,winter,Turtleneck + Jacket,Wool trousers,Leather boots,Beanie + Ear warmers
34.0,91,stormy,summer,Quick-dry shirt + Rain shell,Dark chinos,Waterproof sneakers,Umbrella
8.7,74,rainy,fall,Waterproof shell jacket,Corduroy pants,Rubber-soled boots,Water-resistant watch
19.8,51,cloudy,spring,Linen shirt,Tailored trousers,Loafers,None
24.3,57,cloudy,summer,Cotton T-shirt,Jeans,Canvas shoes,Cap
-0.7,48,sunny,winter,Wool sweater + Overcoat,Corduroy pants,Insulated boots,Beanie + Ear warmers
18.9,46,cloudy,fall,Cotton T-shirt,Chinos,Sneakers,None
30.6,32,sunny,summer,Ultra-light T-shirt,Light chinos,Canvas sneakers,Cap
26.0,42,sunny,spring,Moisture-wicking tee,Linen trousers,Low-top sneakers,Cap
34.8,77,cloudy,summer,Sleeveless athletic top,Linen shorts,Breathable sneakers,Cap
14.8,80,cloudy,spring,Oxford shirt + Light jacket,Slim jeans,Chukka boots,Light scarf
13.6,98,rainy,fall,Hooded rain jacket,Slim jeans,Rain boots,Umbrella
39.3,28,sunny,summer,Ultra-light T-shirt,Linen shorts,Breathable sneakers,Sunglasses
35.1,36,windy,summer,Ultra-light T-shirt,Athletic shorts,Sandals,Cap
16.6,92,rainy,spring,Waterproof shell jacket,Tailored joggers,Rain boots,Water-resistant watch
11.2,99,rainy,fall,Waterproof shell jacket,Slim jeans,Rubber-soled boots,Water-resistant watch
21.6,58,sunny,spring,Polo shirt,Jeans,Sneakers,Sunglasses
11.0,61,windy,fall,Bomber jacket,Chinos,Sneakers,Watch
0.7,49,windy,winter,Wool sweater + Overcoat,Dark jeans,Waterproof sneakers,Cap
31.3,34,sunny,summer,Moisture-wicking tee,Chino shorts,Canvas sneakers,Sunglasses + Cap
23.7,97,rainy,spring,Hooded rain jacket,Tailored trousers,Rubber-soled boots,Umbrella
17.6,99,stormy,spring,Hooded rain jacket,Slim jeans,Rain boots,Umbrella + Cap
33.2,55,cloudy,summer,Sleeveless athletic top,Linen shorts,Sandals,Sunglasses + Cap
-2.8,70,cloudy,winter,Puffer jacket,Corduroy pants,Insulated boots,Thermal socks
12.1,75,rainy,spring,Waterproof shell jacket,Slim jeans,Waterproof sneakers,Water-resistant watch
4.6,58,cloudy,winter,Turtleneck + Jacket,Dark jeans,Waterproof sneakers,Light scarf
23.7,83,rainy,spring,Waterproof shell jacket,Tailored trousers,Rubber-soled boots,Umbrella + Cap
4.3,62,cloudy,winter,Turtleneck + Jacket,Chinos,High-top sneakers,Watch
10.3,73,cloudy,winter,Turtleneck + Jacket,Chinos,Loafers,Cap
-4.8,78,cloudy,winter,Wool sweater + Overcoat,Thermal-lined jeans,Waterproof winter boots,Beanie + Ear warmers
25.7,57,windy,spring,Short-sleeve button-down,Jeans,Loafers,None
18.9,90,rainy,fall,Waterproof shell jacket,Tailored trousers,Rubber-soled boots,Umbrella + Cap
13.6,30,windy,spring,Bomber jacket,Slim jeans,Loafers,Light scarf
15.5,55,cloudy,spring,Long-sleeve Henley,Chinos,Chukka boots,Minimal bracelet
-4.7,82,snowy,winter,Insulated puffer jacket,Thermal-lined jeans,Waterproof winter boots,Wool scarf + Gloves
22.1,52,sunny,spring,Polo shirt,Tailored trousers,Loafers,Watch
36.4,75,cloudy,summer,Ultra-light T-shirt,Chino shorts,Sandals,Cap
9.0,98,rainy,fall,Hooded rain jacket,Chinos,Waterproof sneakers,Umbrella + Cap
13.1,47,windy,fall,Bomber jacket,Slim jeans,Loafers,Light scarf
14.8,60,windy,spring,Light jacket + Henley,Chinos,Chukka boots,Watch
14.1,57,cloudy,spring,Long-sleeve Henley,Slim jeans,Loafers,Watch
16.0,88,rainy,spring,Hooded rain jacket,Chinos,Waterproof sneakers,Umbrella + Cap
24.2,94,misty,summer,Cotton T-shirt,Tailored trousers,Loafers,Watch
13.8,57,cloudy,spring,Oxford shirt + Light jacket,Slim jeans,Loafers,Cap
32.2,42,sunny,summer,Linen short-sleeve shirt,Light chinos,Slip-on loafers,Sunglasses
33.0,33,sunny,summer,Ultra-light T-shirt,Athletic shorts,Breathable sneakers,Sunglasses + Cap
16.1,76,cloudy,spring,Crewneck sweatshirt,Tailored joggers,Chukka boots,Cap
31.8,92,rainy,summer,Light rain jacket,Quick-dry chinos,Rubber-soled boots,Water-resistant watch
22.2,82,cloudy,fall,Cotton T-shirt,Tailored trousers,Sneakers,Sunglasses
2.2,95,rainy,winter,Waterproof shell jacket,Dark jeans,Waterproof sneakers,Water-resistant watch
17.9,90,rainy,fall,Waterproof shell jacket,Tailored joggers,Rubber-soled boots,Water-resistant watch
16.5,55,cloudy,fall,Oxford shirt + Light jacket,Chinos,Chukka boots,Minimal bracelet
11.5,74,rainy,spring,Hooded rain jacket,Tailored joggers,Rain boots,Umbrella + Cap
2.1,66,cloudy,winter,Turtleneck + Jacket,Corduroy pants,Waterproof sneakers,Beanie
1.6,81,snowy,winter,Insulated puffer jacket,Wool trousers,Waterproof winter boots,Beanie + Thermal socks
37.7,49,cloudy,summer,Tank top + Open shirt,Athletic shorts,Sandals,Cooling towel
25.2,57,sunny,summer,Cotton T-shirt,Chinos,Loafers,Sunglasses
21.4,47,windy,spring,Bomber jacket,Jeans,Sneakers,Light scarf
35.8,53,sunny,summer,Ultra-light T-shirt,Linen shorts,Slip-on canvas shoes,Sunglasses
9.2,67,cloudy,fall,Puffer vest + Sweatshirt,Corduroy pants,Leather boots,Watch
13.7,98,rainy,fall,Waterproof shell jacket,Chinos,Rubber-soled boots,Umbrella + Cap
11.3,30,sunny,spring,Light sweater,Tailored joggers,Loafers,Cap
24.1,36,sunny,summer,Linen shirt,Jeans,Sneakers,Sunglasses
18.9,64,cloudy,spring,Cotton T-shirt,Chinos,Sneakers,Cap
9.7,55,sunny,winter,Wool sweater + Overcoat,Corduroy pants,High-top sneakers,Leather gloves
12.7,38,sunny,spring,Light sweater,Slim jeans,Loafers,Cap
10.7,55,cloudy,fall,Oxford shirt + Light jacket,Slim jeans,Sneakers,Cap
35.5,82,misty,summer,Ultra-light T-shirt,Chino shorts,Sandals,Cap
30.3,54,sunny,summer,Moisture-wicking tee,Linen trousers,Slip-on loafers,Sunglasses + Cap
19.7,71,cloudy,spring,Short-sleeve button-down,Jeans,Sneakers,None
35.1,42,sunny,summer,Linen short-sleeve shirt,Chino shorts,Breathable sneakers,Sunglasses + Cap
-2.0,72,windy,winter,Turtleneck + Jacket,Corduroy pants,Leather boots,Light scarf
14.7,71,cloudy,spring,Crewneck sweatshirt,Tailored joggers,Loafers,Light scarf
34.5,50,sunny,summer,Linen short-sleeve shirt,Athletic shorts,Breathable sneakers,Cap
20.7,81,rainy,fall,Waterproof shell jacket,Chinos,Rubber-soled boots,Water-resistant watch
6.9,69,cloudy,winter,Wool sweater + Overcoat,Corduroy pants,Leather boots,Beanie
35.9,45,sunny,summer,Moisture-wicking tee,Chino shorts,Breathable sneakers,Sunglasses + Cap
10.4,49,cloudy,spring,Crewneck sweatshirt,Chinos,Sneakers,Light scarf
31.3,32,sunny,summer,Moisture-wicking tee,Linen trousers,Slip-on loafers,Sunglasses + Cap
12.8,94,rainy,fall,Waterproof shell jacket,Chinos,Rubber-soled boots,Umbrella
15.3,40,sunny,spring,Crewneck sweatshirt,Chinos,Loafers,Light scarf
16.9,26,sunny,spring,Light sweater,Slim jeans,Chukka boots,Minimal bracelet
11.4,55,cloudy,fall,Long-sleeve Henley,Tailored joggers,Sneakers,Light scarf
31.3,34,sunny,summer,Linen short-sleeve shirt,Light chinos,Canvas sneakers,Cap
13.6,55,sunny,fall,Light sweater,Tailored joggers,Chukka boots,Cap
0.3,33,sunny,winter,Turtleneck + Jacket,Dark jeans,High-top sneakers,Light scarf
10.2,82,rainy,fall,Waterproof shell jacket,Slim jeans,Rain boots,Umbrella + Cap
23.5,89,rainy,spring,Waterproof shell jacket,Chinos,Rain boots,Water-resistant watch
15.9,91,rainy,fall,Waterproof shell jacket,Slim jeans,Waterproof sneakers,Umbrella + Cap
4.8,68,snowy,winter,Parka + Thermal layer,Thermal-lined jeans,Insulated boots,Wool scarf + Gloves
36.1,73,cloudy,summer,Linen tee,Linen shorts,Sandals,Cooling towel
7.1,34,sunny,winter,Wool sweater + Overcoat,Corduroy pants,High-top sneakers,Watch
9.9,64,windy,fall,Bomber jacket,Chinos,Waterproof sneakers,Watch
10.2,53,cloudy,fall,Light sweater,Chinos,Chukka boots,Cap
26.7,81,cloudy,summer,Lightweight polo,Linen trousers,Canvas sneakers,None
-1.5,64,snowy,winter,Insulated puffer jacket,Thermal-lined jeans,Waterproof winter boots,Gloves + Beanie
17.2,78,rainy,fall,Waterproof shell jacket,Slim jeans,Rain boots,Water-resistant watch
38.0,84,rainy,summer,Light rain jacket,Dark chinos,Rubber-soled boots,Water-resistant watch
36.7,87,stormy,summer,Quick-dry shirt + Rain shell,Dark chinos,Rain boots,Water-resistant watch
17.8,37,sunny,spring,Long-sleeve Henley,Chinos,Sneakers,Minimal bracelet
-1.1,62,snowy,winter,Parka + Thermal layer,Wool trousers,Insulated boots,Wool scarf + Gloves
-1.0,38,sunny,winter,Turtleneck + Jacket,Thermal-lined jeans,Waterproof winter boots,Thermal socks
11.5,49,cloudy,spring,Light sweater,Slim jeans,Sneakers,Light scarf
17.1,25,sunny,spring,Oxford shirt + Light jacket,Chinos,Loafers,Light scarf
14.1,72,cloudy,fall,Long-sleeve Henley,Chinos,Loafers,Cap
36.4,51,sunny,summer,Moisture-wicking tee,Linen shorts,Slip-on canvas shoes,Sunglasses
-2.7,37,sunny,winter,Puffer jacket,Corduroy pants,Leather boots,Wool scarf
9.4,34,windy,fall,Light jacket + Henley,Chinos,Waterproof sneakers,Light scarf
28.0,92,stormy,summer,Light rain jacket,Dark chinos,Waterproof sneakers,Water-resistant watch
14.7,32,windy,spring,Windbreaker + Tee,Slim jeans,Loafers,Light scarf
13.6,82,cloudy,winter,Oxford shirt + Light jacket,Chinos,Loafers,Minimal bracelet
26.8,62,cloudy,summer,Breathable T-shirt,Chino shorts,Canvas sneakers,Sunglasses
-5.2,64,snowy,winter,Wool coat + Sweater,Wool trousers,Insulated boots,Beanie + Thermal socks
